mineradora,municipio,uf,id,lat,lng
Mosaic,Anitápolis,SC,4201109,-279.012,-491.316
Mosaic,Araxá,MG,3104007,-195.902,-469.438
Itafos,Arraias,TO,1702406,-129.287,-469.359
EDEM Agrominerais,Bonito,MS,5002209,-211.261,-564.836
Mosaic CMOC,Catalão,GO,5205109,-181.656,-479.440
Fosforita Olinda,Igarassu,PE,2606804,-782.881,-349.013
Fosnor Galvani,Irecê,BA,2914604,-113.033,-418.535
BEMISA,Jauru,MT,5105002,-153.342,-588.723
Socal Mineração,Juquiá,SP,3526100,-243.101,-476.426
Fosnor Galvani,Lagamar,MG,3137106,-181.759,-468.063
CPRM,Sapé,PB,2515302,-709.359,-352.280
Geofoscal,Natividade,TO,1714203,-117.034,-477.223
Fosforita Olinda,Olinda,PE,2609600,-801.017,-348.545
Mosaic,Patos de Minas,MG,3148004,-185.699,-465.013
Mosaic,Patrocínio,MG,3148103,-189.730,-469.934
Curimbaba,Poços de Caldas,MG,3151800,-217.883,-465.692
Mineração Morro Azul,Pratápolis,MG,3152907,-207.411,-468.624
Mineração Morro Verde,Pratápolis,MG,3152907,-207.411,-468.624
Nexon Mineraçã,Presidente Olegário,MG,3153400,-184.096,-464.165
Terra Brasil Fertilizantes,Presidente Olegário,MG,3153400,-184.096,-464.165
Yara Brasil,Serra do Salitre,MG,3166808,-191.083,-466.961
Mosaic,Serra Negra,SP,3551603,-226.139,-467.033
Mosaic,Tapira,MG,3168101,-199.166,-468.264
Aguia Resources,Rio Grande,RS,4315602,-320.349,-521.071
