nome,uf,municipio,icon,lat,lng,id,anda,ama,cat
Adubos Vera Cruz Ltda.,SP,Ibaté,fertilizante-agk,-21.9584,-47.9882,3519303,N,S,3
Adufértil Fertilizantes Ltda.,SP,Jundiaí,fertilizante-agk,-23.1852,-46.8974,3525904,S,S,5
Agro Hemar Ltda.,SP,Ribeirão Preto,fertilizante-agk,-21.1699,-47.8099,3543402,N,S,3
Agro Industrial São Luiz Ltda. - Agriter,PR,Paranaguá,fertilizante-agk,-25.5161,-48.5225,4118204,S,N,3
Agrocampo Ltda.,MG,Guaxupé,fertilizante-agk,-21.3050,-46.7081,3128709,S,S,3
Agrocp Indústria e Comércio de Fertilizantes Ltda.,MG,Três Pontas,fertilizante-agk,-21.3694,-45.5109,3169406,S,N,3
Andali Operações Industriais S/A.,PR,Curitiba,fertilizante-agk,-25.4195,-49.2646,4106902,S,N,5
Biosafra Fertilizantes Ltda.,SE,Maruim,fertilizante-agk,-10.7308,-37.0856,2804003,S,N,3
BRFértil S/A.,PR,Curitiba,fertilizante-agk,-25.4195,-49.2646,4106902,S,S,5
Buschle & Lepper S/A.,PR,Curitba,fertilizante-agk,-25.4200,-49.2000,4106902,S,N,5
Café Brasil Indústria - Comércio -  Importação e Exportação Ltda.,MG,Alfenas,fertilizante-agk,-21.4256,-45.9477,3101607,N,S,3
Campo Rico Brasil Comércio de Fertilizantes S/A.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,S,3
Cefértil Cesari Fertilizantes Ltda.,SP,Cubatão,fertilizante-agk,-23.8911,-46.4240,3513504,S,S,3
Chemical Indústria e Comércio de Produtos Agroindustriais Ltda.,PE,Jaboatão dos Guararapes,fertilizante-agk,-8.1130,-35.0150,2607901,S,N,3
CHS Agronegócios Indústria e Comércio Ltda.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
Cibrafertil Companhia Brasileira de Fertilizantes,BA,Camaçari,fertilizante-agk,-12.6996,-38.3263,2905701,S,N,3
CMOC Brasil Serviços Administrativos e Participações Ltda.,SP,Cubatão,fertilizante-agk,-23.8911,-46.424,3513504,S,N,3
Companhia Nitroquimica Brasileira,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
Consube Agropecuária Ltda.,MG,Uberaba,fertilizante-agk,-19.7472,-47.9381,3170107,S,N,3
Coonagro Cooperativa Nacional Agroindustrial,PR,Paranaguá,fertilizante-agk,-25.5161,-48.5225,4118204,S,N,5
Coopavel Cooperativa Agroindustrial,PR,Cascavel,fertilizante-agk,-4.1297,-38.2412,2303501,S,N,3
Coop. Agroindl.dos Produtores Rurais do Sudoeste Goiano - Comigo,GO,Rio Verde,fertilizante-agk,-17.7923,-50.9192,5218805,S,S,5
